Disease,Number,Sponsor,Phase,Study Type,URL
Fallopian Tube Cancer,NCT00096239,Jonsson Comprehensive Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00096239
Hodgkin Lymphoma,NCT03617666,"University College, London",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03617666
Hodgkin Lymphoma,NCT03618550,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03618550
Cholangiocarcinoma,NCT03613168,Changhoon Yoo,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03613168
Adrenocortical Carcinoma,NCT03612232,Wuerzburg University Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03612232
Mesothelioma,NCT03610360,Amphera BV,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03610360
Hodgkin Lymphoma,NCT03613727,Virginia Commonwealth University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03613727
Thymoma,NCT03613272,Jiang Fan,N/A,Interventional,https://clinicaltrials.gov/show/NCT03613272
Primary Myelofibrosis,NCT01423851,"NS Pharma, Inc.",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01423851
Pheochromocytoma,NCT01425710,Medical University of Vienna,None,Observational,https://clinicaltrials.gov/show/NCT01425710
Primary Myelofibrosis,NCT01423058,"Sierra Oncology, Inc.",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01423058
Leiomyosarcoma,NCT01426633,Heidelberg University,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01426633
Uveal Melanoma,NCT04589832,"Arkadiusz Z. Dudek, MD",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04589832
Uveal Melanoma,NCT04588662,Richard D. Carvajal,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT04588662
Cholangiocarcinoma,NCT00975039,Steba Biotech S.A.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00975039
Cholangiocarcinoma,NCT00973713,Austin Health,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00973713
Male Breast Cancer,NCT01931709,University of Washington,N/A,Interventional,https://clinicaltrials.gov/show/NCT01931709
Mesothelioma,NCT03063450,University of Southampton,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03063450
Hodgkin Lymphoma,NCT02398240,Mitchell Cairo,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02398240
Mesothelioma,NCT02395679,Erasmus Medical Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02395679
Thymoma,NCT00198133,Patrick Joseph Loehrer Sr.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00198133
Mesothelioma,NCT00190762,Eli Lilly and Company,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00190762
Kidney Cancer,NCT00193154,"SCRI Development Innovations, LLC",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00193154
Uveal Melanoma,NCT02517736,"University Hospital, Caen",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02517736
Hodgkin Lymphoma,NCT03250962,Chinese PLA General Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03250962
Adrenocortical Carcinoma,NCT03257891,Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03257891
Primary Myelofibrosis,NCT02091752,Novartis Pharmaceuticals,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02091752
Adenoid Cystic Carcinoma,NCT02098538,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02098538
Hodgkin Lymphoma,NCT02098512,New York Medical College,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02098512
Fibrolamellar Hepatocellular Carcinoma,NCT02702960,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02702960
Mesothelioma,NCT02709512,Polaris Group,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02709512
Cholangiocarcinoma,NCT01844245,Bing Hu,N/A,Interventional,https://clinicaltrials.gov/show/NCT01844245
Kidney Cancer,NCT01971905,Nessn Azawi,None,Observational,https://clinicaltrials.gov/show/NCT01971905
Chondrosarcoma,NCT02008019,Centre Leon Berard,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02008019
Pheochromocytoma,NCT01022515,"University Hospital, Rouen",None,Observational,https://clinicaltrials.gov/show/NCT01022515
Thymoma,NCT01025089,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01025089
Kidney Cancer,NCT01024205,Barts and the London School of Medicine and Dentistry,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01024205
Hodgkin Lymphoma,NCT01022996,Novartis Pharmaceuticals,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01022996
Mesothelioma,NCT04040231,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04040231
Cutaneous T Cell Lymphoma,NCT04045470,Dana-Farber Cancer Institute,N/A,Interventional,https://clinicaltrials.gov/show/NCT04045470
Chondrosarcoma,NCT04040205,Medical College of Wisconsin,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04040205
Adenoid Cystic Carcinoma,NCT03999684,Dana-Farber Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03999684
Cholangiocarcinoma,NCT03999593,University of Liverpool,None,Observational,https://clinicaltrials.gov/show/NCT03999593
Uveal Melanoma,NCT02376920,Castle Biosciences Incorporated,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT02376920
Richter's Transformation,NCT02378038,"Sierra Oncology, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02378038
Cholangiocarcinoma,NCT02374489,"National Health Research Institutes, Taiwan",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02374489
Primary Myelofibrosis,NCT02370329,Mayo Clinic,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02370329
Kidney Cancer,NCT04342286,Chinese University of Hong Kong,None,Observational,https://clinicaltrials.gov/show/NCT04342286
Cholangiocarcinoma,NCT04340986,Assistance Publique - Hôpitaux de Paris,None,Observational,https://clinicaltrials.gov/show/NCT04340986
Adrenocortical Carcinoma,NCT02673333,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02673333
Cholangiocarcinoma,NCT00660140,Washington University School of Medicine,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00660140
Mesothelioma,NCT00668499,University of Southern California,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00668499
Uveal Melanoma,NCT00661622,Sidney Kimmel Cancer Center at Thomas Jefferson University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00661622
Hodgkin Lymphoma,NCT02432235,ADC Therapeutics S.A.,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02432235
Cholangiocarcinoma,NCT02436564,Cambridge University Hospitals NHS Foundation Trust,None,Observational,https://clinicaltrials.gov/show/NCT02436564
Cholangiocarcinoma,NCT03943043,Istituto Clinico Humanitas,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03943043
Hodgkin Lymphoma,NCT03947255,Seagen Inc.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03947255
Pancreatic Neuroendocrine Tumor,NCT03947762,Ipsen,None,Observational,https://clinicaltrials.gov/show/NCT03947762
Uterine Serous Carcinoma,NCT04590248,AstraZeneca,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04590248
Mesothelioma,NCT02899299,Bristol-Myers Squibb,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02899299
Mesothelioma,NCT02899195,"PrECOG, LLC.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02899195
Adrenocortical Carcinoma,NCT02015026,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT02015026
Male Breast Cancer,NCT02013492,William Carson,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02013492
Thymoma,NCT02014805,Chinese Academy of Medical Sciences,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02014805
Kidney Cancer,NCT02019693,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02019693
Hodgkin Lymphoma,NCT04298619,Federico II University,None,Observational,https://clinicaltrials.gov/show/NCT04298619
Kaposi's Sarcoma,NCT02201420,Navidea Biopharmaceuticals,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02201420
Male Breast Cancer,NCT00132002,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00132002
Mesothelioma,NCT00137826,Dana-Farber Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00137826
Fallopian Tube Cancer,NCT00138242,Floyd & Delores Jones Cancer Institute at Virginia Mason Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00138242
Male Breast Cancer,NCT00068588,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00068588
Fallopian Tube Cancer,NCT00066729,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00066729
Male Breast Cancer,NCT00063934,National Cancer Institute (NCI),Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00063934
Mesothelioma,NCT00061477,Eli Lilly and Company,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00061477
Kidney Cancer,NCT00066599,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00066599
Penile Cancer,NCT00066391,European Organisation for Research and Treatment of Cancer - EORTC,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00066391
Cholangiocarcinoma,NCT02482454,The First People's Hospital of Changzhou,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02482454
Mesothelioma,NCT03867578,University of Chicago,N/A,Interventional,https://clinicaltrials.gov/show/NCT03867578
Kidney Cancer,NCT01888042,"Gustave Roussy, Cancer Campus, Grand Paris",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01888042
Adult T-cell Leukemia/Lymphoma,NCT04102150,"Daiichi Sankyo Co., Ltd.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04102150
Cholangiocarcinoma,NCT04099888,PCI Biotech AS,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04099888
Hodgkin Lymphoma,NCT04091490,"State Budgetary Healthcare Institution, National Medical Surgical Center N.A. N.I. Pirogov, Ministry of Health of Russia",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04091490
Adenoid Cystic Carcinoma,NCT04209660,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04209660
Cholangiocarcinoma,NCT01900158,PCI Biotech AS,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01900158
Hodgkin Lymphoma,NCT01900509,St. Jude Children's Research Hospital,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01900509
Mesothelioma,NCT01907100,Boehringer Ingelheim,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01907100
Heart Cancer,NCT02333279,University of Zurich,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT02333279
Gliosarcoma,NCT00613223,Annick Desjardins,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00613223
Kidney Cancer,NCT00617799,University of Nebraska,None,Observational,https://clinicaltrials.gov/show/NCT00617799
Gliosarcoma,NCT00612651,Duke University,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00612651
Fallopian Tube Cancer,NCT00617773,Recepta Biopharma,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00617773
Cholangiocarcinoma,NCT03792048,First Affiliated Hospital Xi'an Jiaotong University,N/A,Interventional,https://clinicaltrials.gov/show/NCT03792048
Mesothelioma,NCT03907852,TCR2 Therapeutics,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03907852
Hodgkin Lymphoma,NCT01217229,"Daiichi Sankyo, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01217229
Kidney Cancer,NCT01217931,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01217931
Leiomyosarcoma,NCT04535271,"Sarcoma Oncology Research Center, LLC",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04535271
Hypopharyngeal Cancer,NCT04539600,Sun Yat-sen University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04539600
Cholangiocarcinoma,NCT01267344,"National Health Research Institutes, Taiwan",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01267344
Kidney Cancer,NCT01263769,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01263769
Hodgkin Lymphoma,NCT01263899,S*BIO,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01263899
Kidney Cancer,NCT01264341,Hellenic Cooperative Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01264341
Plasma Cell Leukemia,NCT03591744,City of Hope Medical Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03591744
Fallopian Tube Cancer,NCT03593681,Boston Scientific Corporation,None,Observational,https://clinicaltrials.gov/show/NCT03593681
Hodgkin Lymphoma,NCT01569204,University of Cologne,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01569204
Primary Myelofibrosis,NCT04283526,Novartis Pharmaceuticals,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04283526
